 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26. 6.    Time:  20:18: 6
 Units: L = cm   , T = hours, M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

   67     57.10     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   68     59.80     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   69     62.50     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   70     65.20     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   71     68.10     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   72     71.00     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   73     73.90     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   74     77.00     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   75     80.10     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   76     83.20     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   77     86.40     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   78     89.70     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   79     93.10     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   80     96.50     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
   81    100.00     0.063     0.450       0.0   0.118E+00     1.000     0.000     1.000     1.000     1.000
end
