157.9961	879.8750	14.5
157.9961	880.1250	13.0
157.0039	880.0000	14.0
152.0039	880.0000	17.0
127.0039	880.0000	10.0
2.0039	880.0000	25.5
279.0606	947.4384	20.5
278.9356	947.6549	20.0
278.5020	946.6873	25.0
276.0020	942.3572	13.0
263.5020	920.7066	12.5
201.0019	812.4534	18.0
361.0644	947.6549	26.0
360.9394	947.4384	26.0
361.4980	946.6873	23.0
363.9980	942.3572	29.0
376.4980	920.7066	24.0
438.9981	812.4534	8.5
118.9356	652.3452	13.0
119.0606	652.5617	14.0
118.5020	653.3127	15.0
116.0020	657.6428	12.0
103.5020	679.2939	18.0
41.0019	787.5466	20.0
162.0039	720.1250	9.0
162.0039	719.8750	10.0
162.9961	720.0000	8.5
167.9961	720.0000	11.5
192.9961	720.0000	12.0
317.9961	720.0000	9.0
360.9394	652.5617	7.5
361.0644	652.3452	7.0
361.4980	653.3127	9.0
363.9980	657.6428	7.0
376.4980	679.2939	8.0
438.9981	787.5466	12.0
119.0606	627.4384	9.0
118.9356	627.6549	9.5
118.5020	626.6873	8.0
116.0020	622.3572	10.5
103.5020	600.7066	7.5
41.0019	492.4534	7.0
201.0644	627.6549	9.0
200.9394	627.4384	13.0
201.4980	626.6873	8.5
203.9980	622.3572	13.5
216.4980	600.7066	13.0
278.9981	492.4534	11.0
477.9961	559.8750	10.5
477.9961	560.1250	8.0
477.0039	560.0000	10.0
472.0039	560.0000	10.0
447.0039	560.0000	9.0
322.0039	560.0000	12.0
2.0039	400.1250	32.0
2.0039	399.8750	31.0
2.9961	400.0000	26.0
7.9961	400.0000	24.0
32.9961	400.0000	38.5
157.9961	400.0000	18.0
200.9394	332.5617	25.5
201.0644	332.3452	25.5
201.4980	333.3127	24.0
203.9980	337.6428	28.0
216.4980	359.2934	31.0
278.9981	467.5466	18.0
438.9356	332.3452	12.5
439.0606	332.5617	13.0
438.5020	333.3127	10.5
436.0020	337.6428	10.0
423.5020	359.2934	10.0
361.0019	467.5466	20.0
41.0644	307.6549	32.0
40.9394	307.4384	32.0
41.4980	306.6873	38.0
43.9980	302.3572	23.5
56.4980	280.7066	10.0
118.9981	172.4534	24.0
317.9961	239.8750	12.0
317.9961	240.1250	12.0
317.0039	240.0000	13.0
312.0039	240.0000	15.5
287.0039	240.0000	22.0
162.0039	240.0000	23.0
439.0606	307.4384	8.0
438.9356	307.6549	8.0
438.5020	306.6873	16.0
436.0020	302.3572	14.0
423.5020	280.7066	22.0
361.0019	172.4534	29.0
40.9394	12.5617	31.0
41.0644	12.3452	30.0
41.4980	13.3127	31.0
43.9980	17.6428	30.0
56.4980	39.2934	38.0
118.9981	147.5466	39.0
278.9356	12.3452	43.0
279.0606	12.5617	40.0
278.5020	13.3127	29.0
276.0020	17.6428	41.0
263.5020	39.2934	45.0
201.0019	147.5466	42.0
322.0039	80.1250	27.0
322.0039	79.8750	28.5
322.9961	80.0000	28.0
327.9961	80.0000	21.5
352.9961	80.0000	19.0
477.9961	80.0000	19.0
